palabra,frec_norm
internacional,0.00021924733898767902
van,0.0002189195954170804
esas,0.0002188147174744888
segunda,0.0002186901749176613
empresa,0.00021828377289011898
puesto,0.00021797569393375624
ahí,0.0002179363647052844
propia,0.00021728743243549904
m,0.0002169596888649004
libro,0.0002166778293941856
igual,0.0002159830130245164
político,0.00021583880585345297
persona,0.0002147113679705936
últimos,0.00021427219158599132
ellas,0.00021391822852974489
total,0.0002132889608741954
creo,0.00021305954037477643
tengo,0.00021246304707628685
dios,0.00021220085221980783
c,0.0002120173158202725
española,0.00021067356718081808
condiciones,0.0002103720430958673
méxico,0.00021030649438174762
fuerza,0.00021029338463892367
solo,0.0002098214338972616
único,0.00020974933031172989
acción,0.0002083728073152155
amor,0.00020772387504543007
policía,0.00020712082687552864
puerta,0.0002064981140913912
pesar,0.000206058937706789
zona,0.0002055935418365389
sabe,0.00020554765773665511
calle,0.00020536412133711986
interior,0.00020449887831073936
tampoco,0.0002032927819709363
música,0.0002029912578859856
ningún,0.0002029519286575137
vista,0.000202886379943394
campo,0.00020172616770347472
buen,0.00020160162514664719
hubiera,0.00020158851540382332
saber,0.00020086747954850624
obras,0.00020041519342108008
razón,0.00020017921805024904
ex,0.0002000677852362455
niños,0.00019958927962317142
presencia,0.00019943851758069607
tema,0.00019925498118116082
dinero,0.00019917632272421721
comisión,0.0001989403473533861
antonio,0.0001988682437678544
servicio,0.00019873059146820296
hijo,0.0001985994940399635
última,0.00019840940276901628
ciento,0.0001976031535853436
estoy,0.00019753760487122382
hablar,0.0001974786110285161
dio,0.00019745239154286818
minutos,0.00019672480081613919
producción,0.00019582678343269891
camino,0.0001955318142191601
seis,0.00019541382653374454
quién,0.00019507297322032192
fondo,0.0001950074245062022
dirección,0.00019473211990689933
papel,0.0001946927906784275
demás,0.0001941749558368816
barcelona,0.00019410940712276183
idea,0.00019410940712276183
especial,0.00019309340205390604
diferentes,0.0001925690123409482
dado,0.00019200529339951847
base,0.0001916841047003318
capital,0.0001915333426578564
ambos,0.0001912580380585536
europa,0.0001912121539586697
libertad,0.00019087130064524712
relaciones,0.00019045178887488085
espacio,0.00018906871100695448
medios,0.0001889638330643629
ir,0.00018849843719411283
actual,0.00018824935208045784
población,0.0001879150536384472
empresas,0.0001878167305672676
estudio,0.000187731517238912
salud,0.00018766596852479224
servicios,0.00018712191419759843
haya,0.00018699737164077097
principio,0.00018665651832734835
siendo,0.0001866040793560526
cultura,0.0001860403604146229
anterior,0.0001855684096729608
alto,0.0001855421901873129
media,0.0001854504219875453
mediante,0.0001851882271310664
primeros,0.00018480148971775995
arte,0.0001846179533182247
paz,0.0001845786240897528
sector,0.00018455895947551686
imagen,0.0001842508805191542
medida,0.0001841984415478584
deben,0.00018358883850654487
datos,0.00018355606414948504
consejo,0.00018332664365006598
personal,0.00018307755853641105
interés,0.00018300545495087927
julio,0.00018300545495087927
grupos,0.0001826383821518088
miembros,0.0001825072847235693
ninguna,0.00018236963242391788
existe,0.00018208777295320306
cara,0.0001819370109107277
edad,0.0001817731391254284
etc,0.00018162893195436487
movimiento,0.00018154371862600928
visto,0.00018141917606918182
llegó,0.00018062603662833305
puntos,0.00018018030537231885
actividad,0.00017883655673286435
bueno,0.00017865957520474108
uso,0.00017852192290508965
niño,0.00017801064293495577
difícil,0.00017769600910718102
joven,0.00017713884503716334
futuro,0.00017690942453774423
aquellos,0.00017681765633797663
mes,0.00017670622352397307
pronto,0.00017654890661008573
soy,0.00017634570559631456
hacía,0.00017599829741147996
nuevos,0.00017585409024041654
nuestros,0.00017559845025534961
estaban,0.00017497573747121215
posibilidad,0.00017443168314401842
